origin_code,origin_name,origin_coords,origin_location,origin_lat,origin_lon,dest_code,dest_name,dest_coords,dest_location,route,route_locations,distance_mi,co2e_kg,co2e_kg_round,co2e_lb
BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",42.348695,-71.059861,BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",0.0,0.0,0,0
BOS,"Boston, MA","(42.348695, -71.059861)","Boston, Massachusetts",42.348695,-71.059861,RTE,"Route 128, MA","(42.2111905, -71.148665)","Westwood, Massachusetts",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",17.25046612802983,3.1430349285270354,3,6
RTE,"Route 128, MA","(42.2111905, -71.148665)","Westwood, Massachusetts",42.2111905,-71.148665,PVD,"Providence, RI","(41.8305099, -71.4131785)","Providence, Rhode Island",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",33.07893101305159,6.0269812305779995,6,13
PVD,"Providence, RI","(41.8305099, -71.4131785)","Providence, Rhode Island",41.8305099,-71.4131785,NHV,"New Haven, CT","(41.2973604, -72.9267668)","New Haven, Connecticut",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",103.59975139838409,18.87587470478558,18,41
NHV,"New Haven, CT","(41.2973604, -72.9267668)","New Haven, Connecticut",41.2973604,-72.9267668,STM,"Stamford, CT","(41.0468938, -73.5429146)","Stamford, Connecticut",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",40.18272218769422,7.321291982597886,7,16
STM,"Stamford, CT","(41.0468938, -73.5429146)","Stamford, Connecticut",41.0468938,-73.5429146,NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",38.8272218769422,7.074319825978868,7,15
NYP,"New York, NY","(40.7509973, -73.9962784)","New York, New York",40.7509973,-73.9962784,NWK,"Newark, NJ","(40.7344839, -74.1641817)","Newark, New Jersey",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",13.971410814170293,2.5455910503418275,2,5
NWK,"Newark, NJ","(40.7344839, -74.1641817)","Newark, New Jersey",40.7344839,-74.1641817,MET,"Metropark, NJ","(40.5693929, -74.3176876)","Iselin, New Jersey",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",19.64822871348664,3.5799072715972655,3,7
MET,"Metropark, NJ","(40.5693929, -74.3176876)","Iselin, New Jersey",40.5693929,-74.3176876,TRE,"Trenton, NJ","(40.2186223, -74.7539603)","Trenton, New Jersey",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",45.855811062771906,8.354928775637042,8,18
TRE,"Trenton, NJ","(40.2186223, -74.7539603)","Trenton, New Jersey",40.2186223,-74.7539603,PHL,"Philadelphia, PA","(39.9557501, -75.1819889)","Philadelphia, Pennsylvania",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",34.60285891858297,6.304640894965817,6,13
PHL,"Philadelphia, PA","(39.9557501, -75.1819889)","Philadelphia, Pennsylvania",39.9557501,-75.1819889,WIL,"Wilmington, DE","(39.7369407, -75.55104829999999)","Wilmington, Delaware",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",29.102548166563082,5.302484275947793,5,11
WIL,"Wilmington, DE","(39.7369407, -75.55104829999999)","Wilmington, Delaware",39.7369407,-75.55104829999999,BAL,"Baltimore, MD","(39.3074069, -76.6155478)","Baltimore, Maryland",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",69.43318831572405,12.650726911124922,12,27
BAL,"Baltimore, MD","(39.3074069, -76.6155478)","Baltimore, Maryland",39.3074069,-76.6155478,BWI,"BWI Marshall Airport, MD","(39.1921035, -76.6946308)","Baltimore, Maryland",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",13.981976382846488,2.54751609695463,2,5
BWI,"BWI Marshall Airport, MD","(39.1921035, -76.6946308)","Baltimore, Maryland",39.1921035,-76.6946308,WAS,"Washington, DC","(38.8979438, -77.0049635)","Washington, DC",Acela - Boston - DC,"Acela - Boston - DC: Boston, MA; Route 128, MA; Providence, RI; New Haven, CT; Stamford, CT; New York, NY; Newark, NJ; Metropark, NJ; Trenton, NJ; Philadelphia, PA; Wilmington, DE; Baltimore, MD; BWI Marshall Airport, MD; Washington, DC",32.13486637663145,5.854972653822251,5,12
